100;7663
200;36906
300;104231
400;223127
500;408287
600;674373
700;1042671
800;1509299
900;2109970
1000;2855057
2000;5832175
3000;12579281
4000;24595531
5000;43437373
6000;70470017
7000;107252162
8000;155033061
9000;215544302
10000;290465886
