100; 2872
200; 6472
300; 10376
400; 14427
500; 18495
600; 22833
700; 27268
800; 31573
900; 35961
1000; 40334
2000; 87275
3000; 136947
4000; 187259
5000; 240081
6000; 292973
7000; 346480
8000; 399535
9000; 455387
10000; 511497
